Japan,Mount Fuji,35.3606,138.7274
Montenegro,Podgorica,42.4414,19.2628
Curaçao,Willemstad,12.108,-68.935
Mauritius,Port Louis,-20.1644,57.5042
Brazil,Brasilia,-15.7939,-47.8828
Iceland,Reykjavik,64.1458,-21.9425
Burundi,Gitega,-3.4283,29.925
Switzerland,Bern,46.948,7.4474
Benin,Porto-Novo,6.4972,2.605
Maldives,Male,4.1753,73.5089
Luxembourg,Luxembourg,49.6117,6.1319
French Polynesia,Papeete,-17.5334,-149.5667
Sri Lanka,Sri Jayewardenepura Kotte,6.9,79.9164
Bhutan,Thimphu,27.4722,89.6361
Barbados,Bridgetown,13.0969,-59.6131
Fiji,Suva,-18.1333,178.4333
Solomon Islands,Honiara,-9.4333,159.95
Trinidad and Tobago,Port of Spain,10.6667,-61.5167
Sao Tome and Principe,Sao Tome,0.3361,6.7306
Mayotte,Mamoudzou,-12.7806,45.2278
Saint Lucia,Castries,14.0108,-60.9894
Malaysia,Putrajaya,2.914,101.7019
Cabo Verde,Praia,14.9177,-23.5092
French Guiana,Cayenne,4.933,-52.33
Eswatini,Mbabane,-26.3167,31.1333
Brunei,Bandar Seri Begawan,4.8903,114.9422
Vanuatu,Port-Vila,-17.7333,168.3167
Monaco,Monaco,43.7333,7.4167
Samoa,Apia,-13.8333,-171.75
Gibraltar,Gibraltar,36.14,-5.35
Grenada,Saint George's,12.05,-61.75
Jersey,Saint Helier,49.1858,-2.11
Marshall Islands,Majuro,7.0833,171.3833
Kiribati,Tarawa,1.3382,173.0176
Aruba,Oranjestad,12.5186,-70.0358
Isle of Man,Douglas,54.15,-4.4775
Cayman Islands,George Town,19.295,-81.3811
Tonga,Nuku`alofa,-21.1333,-175.2
Seychelles,Victoria,-4.6231,55.4525
Andorra,Andorra la Vella,42.5,1.5
United States,Furnace Creek,36.5323,-116.9325
Antigua and Barbuda,Saint John's,17.1167,-61.85
Guernsey,Saint Peter Port,49.4555,-2.5368
Greenland,Nuuk,64.1767,-51.7361
Comoros,Moroni,-11.699,43.256
Dominica,Roseau,15.3014,-61.3883
Faroe Islands,Torshavn,62.0,-6.7833
Saint Kitts and Nevis,Basseterre,17.3,-62.7333
Saint Vincent and the Grenadines,Kingstown,13.1578,-61.225
"Virgin Islands, British",Road Town,18.4167,-64.6167
American Samoa,Pago Pago,-14.274,-170.7046
Tuvalu,Funafuti,-8.5167,179.2
"Micronesia, Federated States of",Palikir,6.9172,158.1589
Eswatini,Lobamba,-26.4667,31.2
Saint Martin,Marigot,18.0706,-63.0847
Liechtenstein,Vaduz,47.1406,9.5222
Saint Pierre and Miquelon,Saint-Pierre,46.7817,-56.1736
San Marino,San Marino,43.9346,12.4473
Cook Islands,Avarua,-21.207,-159.771
Belize,Belmopan,17.2522,-88.7639
Turks and Caicos Islands,Grand Turk,21.459,-71.139
Anguilla,The Valley,18.2208,-63.0517
Morocco,Tifariti,26.158,-10.567
Northern Mariana Islands,Capitol Hill,15.2137,145.7546
Saint Barthelemy,Gustavia,17.8979,-62.8506
Falkland Islands (Islas Malvinas),Stanley,-51.7,-57.85
Sint Maarten,Philipsburg,18.0237,-63.0458
Svalbard,Longyearbyen,78.2167,15.6333
Christmas Island,Flying Fish Cove,-10.4261,105.6728
Guam,Hagta,13.4745,144.7504
Wallis and Futuna,Mata-Utu,-13.2825,-176.1736
Bermuda,Hamilton,32.2942,-64.7819
Vatican City,Vatican City,41.904,12.453
Nauru,Yaren,-0.5456,166.925
"Saint Helena, Ascension, and Tristan da Cunha",Jamestown,-15.9251,-5.7179
Niue,Alofi,-19.056,-169.921
Montserrat,Brades,16.7928,-62.2106
Norfolk Island,Kingston,-29.0606,167.9619
Guadeloupe,Basse-Terre,16.0104,-61.7055
Palau,Ngerulmud,7.5006,134.6242
Pitcairn Islands,Adamstown,-25.0667,-130.0833
South Georgia And South Sandwich Islands,King Edward Point,-54.2833,-36.5
Montserrat,Plymouth,16.7064,-62.2158
U.S. Virgin Islands,Charlotte Amalie,18.342,-64.9331
